"id","title","test case id","author","assignee","actual result","status","milestone","severity","external issues","attachments","tags"
"16","Verify Applying Discount Coupons","67","Stefaniya Ruseva","Stefaniya Ruseva","The price is not reduced after Discount Code is applied.","Open","Release 1.0","Critical","","",""
"15","Verify Correct Price Calculations","49","Stefaniya Ruseva","Stefaniya Ruseva","Free shipping is applied, but the price is not reduced after Discount Code is applied.","Open","Release 1.0","Normal","","",""
"13","Verify Applying Discount Coupons","67","Stefaniya Ruseva","Stefaniya Ruseva","The price is not reduced after Discount Code is applied","Open","Release 1.0","Normal","","",""
"12","Verify Add a Review","61","Stefaniya Ruseva","Stefaniya Ruseva","*Message ""Your comment is awaiting approval."" is shown*","Open","Release 1.0","Normal","","",""
"11","Verify Cookies Policy Link","38","Stefaniya Ruseva","Stefaniya Ruseva","There is no method for the user to give explicit consent.","Open","Release 1.0","Critical","","",""
"10","Verify General Terms and Conditions Link","36","Stefaniya Ruseva","Stefaniya Ruseva","There is no checkbox to accept the terms and conditions.","Resolved","Release 1.0","Critical","","",""
"9","Verify Product Categories","40","Stefaniya Ruseva","Stefaniya Ruseva","Promotion section is displayed below the other categories","Open","Release 1.0","Major","","",""
"8","Verify Product Categories","40","Stefaniya Ruseva","Stefaniya Ruseva","instead of ""Fish"" the category is named ""For Fish""","Open","Release 1.0","Minor","","",""
"7","Verify Telephone Number","34","Stefaniya Ruseva","Stefaniya Ruseva","Telephone number is not visible at the Home Page.","Open","Release 1.0","Critical","","",""
"6","Verify Working Hours","33","Stefaniya Ruseva","Stefaniya Ruseva","Instead of ""Day Off"" the weekend work hours are named ""Unemployed""","Open","Release 1.0","Minor","","",""
"5","Verify ""For Costumers"" Menu","31","Stefaniya Ruseva","Stefaniya Ruseva","instead of ""Logout"" the link is named ""Exodus""","Open","Release 1.0","Normal","","",""
"4","Verify Logout Button","20","Stefaniya Ruseva","Stefaniya Ruseva","User is redirected to ""My Account"" page","Resolved","Release 1.0","Critical","","",""
"3","Verify Max Length for All Field","13","Stefaniya Ruseva","Stefaniya Ruseva","There is no max length limit for any of ""My account"" fields.","Open","Release 1.0","Normal","","",""
"2","Verify Labels for My Account Page","15","Stefaniya Ruseva","Stefaniya Ruseva","instead of ""Favorites"" the section is named ""Downloads""","Open","Release 1.0","Normal","","",""
